"qid","qname","question","type","sub","sq_id"
"QID27","JobSatPoints_13","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Recognition from peers for your work","13"
"QID27","JobSatPoints_14","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Recognition from leadership for your work","14"
"QID27","JobSatPoints_15","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Other (please specify):","15"
"QID27","JobSatPoints_15_TEXT","Rank the following attributes of your current professional job in technology according to those that contribute your job satisfaction so that the first is the most important, last is least important (if you just started a new job, consider the job you spent the most time at in the past year):","RO","Other (please specify): - Text","15"
"QID76","SO_Actions_1","When visiting Stack Overflow, which following activities are you most interested in?  Please rank the following so the first activity is what most interests you and last is your least interested activity.","RO","Browse content related to Q&A posts I recently viewed","1"
"QID76","SO_Actions_16","When visiting Stack Overflow, which following activities are you most interested in?  Please rank the following so the first activity is what most interests you and last is your least interested activity.","RO","Read and/or vote on comments for a Question or Answer I am interested in","2"
"QID76","SO_Actions_3","When visiting Stack Overflow, which following activities are you most interested in?  Please rank the following so the first activity is what most interests you and last is your least interested activity.","RO","Bookmark posts to look at later","3"
"QID76","SO_Actions_4","When visiting Stack Overflow, which following activities are you most interested in?  Please rank the following so the first activity is what most interests you and last is your least interested activity.","RO","Directly open a Q&A post via search, documentation or a peer","4"
"QID76","SO_Actions_5","When visiting Stack Overflow, which following activities are you most interested in?  Please rank the following so the first activity is what most interests you and last is your least interested activity.","RO","Ask a question","5"
"QID76","SO_Actions_6","When visiting Stack Overflow, which following activities are you most interested in?  Please rank the following so the first activity is what most interests you and last is your least interested activity.","RO","Answer a question","6"
"QID76","SO_Actions_9","When visiting Stack Overflow, which following activities are you most interested in?  Please rank the following so the first activity is what most interests you and last is your least interested activity.","RO","Comment on Q&A posts","7"
"QID76","SO_Actions_7","When visiting Stack Overflow, which following activities are you most interested in?  Please rank the following so the first activity is what most interests you and last is your least interested activity.","RO","Upvote/Downvote Q&A posts","8"
"QID76","SO_Actions_10","When visiting Stack Overflow, which following activities are you most interested in?  Please rank the following so the first activity is what most interests you and last is your least interested activity.","RO","Use discussion or chat feature","9"
"QID76","SO_Actions_15","When visiting Stack Overflow, which following activities are you most interested in?  Please rank the following so the first activity is what most interests you and last is your least interested activity.","RO","Other (write in):","10"
"QID76","SO_Actions_15_TEXT","When visiting Stack Overflow, which following activities are you most interested in?  Please rank the following so the first activity is what most interests you and last is your least interested activity.","RO","Other (write in): - Text","15"
"QID3","MainBranch","Are you someone who writes code? Please select one of the following options that best describes you today.","MC",NA,NA
"QID4","Age","What is your age?","MC",NA,NA
"QID9","EdLevel","Which of the following best describes the highest level of formal education that you’ve completed? ","MC",NA,NA
"QID7","Employment","Which of the following best describes your current employment status?<br>","MC",NA,NA
"QID8","EmploymentAddl","Which of the following <strong>additional</strong> activities are you currently engaged in?","MC",NA,NA
"QID14","WorkExp","How many years of professional work experience do you have? Please round to the nearest whole number, excluding any decimal points.  If your answer is '0', please leave blank.","TE",NA,NA
"QID10","LearnCodeChoose","Did you begin learning to code or learn a new coding skill/programming language in the last year?","MC",NA,NA
"QID11","LearnCode","How did you learn to code in the past year? Select all that apply.","MC",NA,NA
"QID12","LearnCodeAI","Did you spend time in the last year learning AI programming or AI-enabled tooling on your own or at work?","MC",NA,NA
"QID32","AILearnHow","How did you learn to code for AI in the past year? Select all that apply.","MC",NA,NA
"QID13","YearsCode","Including any education, how many years have you been coding in total?  Please round to the nearest whole number, excluding any decimal points.","TE",NA,NA
"QID15","DevType","Which of the following describes your current job or the job you had for the most time in the past year?","MC",NA,NA
"QID16","OrgSize","Approximately how many people are employed by your employer?  This should only include your primary company, and if there was more than one employer please consider the one you spent most of your time working for in the past year.","MC",NA,NA
"QID23","ICorPM","Are you an individual contributor or people manager?","MC",NA,NA
"QID24","RemoteWork","Which best describes your current work situation?","MC",NA,NA
"QID17","PurchaseInfluence","Have you <strong>influenced or endorsed</strong> a new technology purchase at your organization or sole proprietor job in the past year?","MC",NA,NA
"QID33","TechEndorseIntro","When you&rsquo;re in a position to <strong>influence or endorse a technology</strong>, whether at work, for school, or for a personal project you&rsquo;re responsible for, what features or attributes matter most when deciding to support a tool? What factors would be deal-breakers?<br />
<br />
First, select the context (work, school, personal project).  Then, rank the following features in order of importance.​​​​​​","MC",NA,NA
"QID25","Industry","What industry do you work for in?","MC",NA,NA
"QID26","JobSat","How satisfied are you in your current professional developer role?","MC",NA,NA
"QID28","AIThreat","Do you believe AI is a threat to your current job?","MC",NA,NA
"QID29","NewRole","Have you considered a career change or transitioned into a new role in the past year?","MC",NA,NA
"QID30","ToolCountWork","For your <b>primary work role</b> (student, developer, or technologist) over the past year:
<br><br>Excluding general operating systems (like Windows or macOS) and web browsers, <b>how many distinct software applications or platforms</b> did you regularly use to create, analyze, manage, or share information in order to do your job?

Please enter a whole number below with no punctuation, or leave blank.","TE",NA,NA
"QID31","ToolCountPersonal","<b></b>For your <b>side projects or other personal work</b> over the past year (focus on the project you spent the most time on if applicable):
<br><br>Excluding general operating systems and web browsers, how many <b>distinct software applications or platforms</b> did you regularly use to do your job? Please enter a whole number below with no punctuation, or leave blank.","TE",NA,NA
"QID20","Country","Where do you live?","MC",NA,NA
"QID21","Currency","Which currency do you use day-to-day? If your answer is complicated, please pick the one you're most comfortable estimating in.","MC",NA,NA
"QID22","CompTotal","What is your current total <b>annual</b> compensation (salary, bonuses, and perks, before taxes and deductions) in terms of your day-to-day currency?  Please enter a whole number in the box below, without any punctuation.  If you are paid hourly, please estimate an equivalent yearly salary. If you prefer not to answer, please leave the box empty. ","TE",NA,NA
"QID44","LanguageChoice","Did you work with programming, scripting and markup languages in the last year or do you plan to in the year to come?  Here, we are referring to anything you use that is conventionally referred to as code.","MC",NA,NA
"QID34","Language","Which <b>programming, scripting, and markup languages</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.)","Matrix",NA,NA
"QID51","LanguagesHaveEntry","Was the programming language you use not listed above?  List below, separated by a comma and a space for each, the programming language(s) <strong>you used in the past year</strong>.","TE",NA,NA
"QID52","LanguagesWantEntry","Was the programming language you want to use not listed above? List below, separated by a comma and a space for each, the programming language(s) <strong>you want to use next year</strong>.","TE",NA,NA
"QID45","DatabaseChoice","Did you work with database environments in the last year or do you plan to in the year to come?  Here, we are referring to a system of managing structured data, mostly outside of your local machine.","MC",NA,NA
"QID35","Database","Which <b>database environments </b>have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.)","Matrix",NA,NA
"QID54","DatabaseHaveEntry","Was the database environment you use not listed above?  List below, separated by a comma and a space for each, what <strong>you used in the past year</strong>.","TE",NA,NA
"QID55","DatabaseWantEntry","Was the database environment you want to use not listed above? List below, separated by a comma and a space for each, what <strong>you want to use next year</strong>.","TE",NA,NA
"QID46","PlatformChoice","Did you work with cloud platforms, containerization/orchestration tools, package managers, build tools or infrastructure as code solutions in the last year or do you plan to in the year to come?  Here, we are referring to tooling that automates, manages, and scales the entire application lifecycle, often leveraging remote, virtualized resources.","MC",NA,NA
"QID36","Platform","Which <b>cloud platforms, containerization/orchestration tools, package managers, build tools, and infrastructure as code solutions</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.)","Matrix",NA,NA
"QID56","PlatformHaveEntry","Was the cloud platforms, containerization/orchestration tools, package managers, build tools, and infrastructure as code solutions you use not listed above?  List below, separated by a comma and a space for each, what <strong>you used in the past year</strong>.","TE",NA,NA
"QID57","PlatformWantEntry","Was the cloud platforms, containerization/orchestration tools, package managers, build tools, and infrastructure as code solutions you want to use not listed above?  List below, separated by a comma and a space for each, what<strong>you want to use next year</strong>.","TE",NA,NA
"QID47","WebframeChoice","Did you work with web frameworks and web technologies in the last year or do you plan to in the year to come?  Here, we are referring to technology that helps website and web apps materialize.","MC",NA,NA
"QID37","Webframe","Which <b>web frameworks and web technologies</b> have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)","Matrix",NA,NA
"QID58","WebframeHaveEntry","Were the web frameworks and web technologies you use not listed above?  List below, separated by a comma and a space for each, what <strong>you used in the past year</strong>.","TE",NA,NA
"QID59","WebframeWantEntry","Were the web frameworks and web technologies you want to use not listed above?  List below, separated by a comma and a space for each, the what <strong>you want to use next year</strong>.","TE",NA,NA
"QID48","DevEnvsChoice","Did you work with development environments or AI-enabled code editing tools in the last year or do you plan to in the year to come?  Here, we are referring to programs like VS Code that allow you to write, edit and save code easily and help you share code with other developers or AI agents.","MC",NA,NA
"QID38","DevEnvs","Which <strong>development environments and AI-enabled code editing tools</strong> did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply.","Matrix",NA,NA
"QID60","DevEnvHaveEntry","Was the developer environment or AI-enabled code editing tool you use not listed above?  List below, separated by a comma and a space for each, what<strong> you used in the past year</strong>.","TE",NA,NA
"QID61","DevEnvWantEntry","Was the developer environment or AI-enabled code editing tool you want to use not listed above?  List below, separated by a comma and a space for each, what <strong>you want to use next year</strong>.","TE",NA,NA
"QID39","SOTags","Which rising technology of the added as <b>new tag or tag subject area on Stack Overflow</b> in the last three years <strong>have you used</strong> regularly in the past year, and which do you <strong>want to work with</strong> over the next year? Please check all that apply.<br>
 ","Matrix",NA,NA
"QID62","SOTagsHaveEntry","Was the new tag on Stack Overflow (i.e. added in the last 2 - 3 years) you use not listed above?  List below, separated by a comma and a space for each, what <strong>you used in the past year</strong>.","TE",NA,NA
"QID63","SOTagsWant Entry","Was the new tag on Stack Overflow (i.e. added in the last 2 - 3 years) you want to use not listed above?  List below, separated by a comma and a space for each, what <strong>you want to use next year</strong>.","TE",NA,NA
"QID40","OpSys","What is the primary <b>operating system</b> in which you work? ","Matrix",NA,NA
"QID41","OfficeStackAsync","Which <b>collaborative work management and/or code documentation tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply","Matrix",NA,NA
"QID64","OfficeStackHaveEntry","Was the collaborative work management and/or code documentation tools you use not listed above?  List below, separated by a comma and a space for each, what you used in the past year.","TE",NA,NA
"QID65","OfficeStackWantEntry","Was the collaborative work management and/or code documentation tools you want to use not listed above?  List below, separated by a comma and a space for each, what you used in the past year.","TE",NA,NA
"QID42","CommPlatform","Which <b>community platforms</b> have you utilized considerably or consistently in the past year, and which would you like to use next year?  Select all that apply.","Matrix",NA,NA
"QID66","CommPlatformHaveEntr","Was the community platform you use not listed above?  List below, separated by a comma and a space for each, what you used in the past year.","TE",NA,NA
"QID67","CommPlatformWantEntr","Was the community platform you want to use not listed above?  List below, separated by a comma and a space for each, what you used in the past year.","TE",NA,NA
"QID50","AIModelsChoice","Did you utilize or integrate specific Large Language Models (LLMs) to power your development tools or applications in the last year?  Here, we are referring to models like GPT-4, Llama, Claude, etc., within your development environments or solutions.","MC",NA,NA
"QID43","AIModels","Which <b>LLM models for AI tools</b> have you used for development work in the past year, and which would you like to use next year?  Select all that apply.","Matrix",NA,NA
"QID68","AIModelsHaveEntry","Was the LLM model for AI tools you use not listed above?  List below, separated by a comma and a space for each, what <strong>you used in the past year</strong>.","TE",NA,NA
"QID69","AIModelsWantEntry","Was the LLM model for AI tools you want to use not listed above?  List below, separated by a comma and a space for each, what <strong>you want to use next year</strong>.","TE",NA,NA
"QID72","SOAccount","Do you have a Stack Overflow account?","MC",NA,NA
"QID70","SOVisitFreq","How frequently would you say you visit Stack Overflow?","MC",NA,NA
"QID71","SODuration","How long have you used Stack Overflow?","MC",NA,NA
"QID73","SOPartFreq","How frequently would you say you participate in Q&amp;A on Stack Overflow? By participate we mean ask, answer, and vote or comment on questions.","MC",NA,NA
"QID75","SO_Dev_Content","Whether it be to solve a problem, for career growth or connecting with a community of developers, is there an alternative to the Q&amp;A format you prefer using today or would like to see on Stack Overflow to get what you need? Select all that apply.","MC",NA,NA
"QID77","SOComm","Do you consider yourself a member of the Stack Overflow community?","MC",NA,NA
"QID97","SOFriction","When you visit Stack Overflow, how often is it a result of encountering issues from AI or AI-enabled tools that require extra time or effort to fix, understand, or debug?","MC",NA,NA
"QID78","AISelect","Do you currently use AI tools in your development process?","MC",NA,NA
"QID79","AISent","How favorable is your stance on using AI tools as part of your development workflow?","MC",NA,NA
"QID80","AIAcc","How much do you trust the accuracy of the output from AI tools as part of your development workflow?","MC",NA,NA
"QID81","AIComplex","How well do the AI tools you use in your development workflow handle complex tasks?","MC",NA,NA
"QID82","AITool","Which parts of your development workflow are you currently integrating into AI or using AI tools to accomplish or plan to use AI to accomplish over the next 3 - 5 years?  Please select one for each scenario.","Matrix",NA,NA
"QID99","AIFrustration","When using AI tools, which of the following problems or frustrations have you encountered? Select all that apply.","MC",NA,NA
"QID84","AIExplain","In your own words, is &quot;vibe coding&quot; part of your professional development work? For this question, we define vibe coding according to the <a href=""https://en.wikipedia.org/wiki/Vibe_coding"" target=""_blank"">Wikipedia definition</a>, the process of generating software from LLM prompts.","TE",NA,NA
"QID85","AIAgents","Are you using AI agents in your work (development or otherwise)?  AI agents refer to autonomous software entities that can operate with minimal to no direct human intervention using artificial intelligence techniques.","MC",NA,NA
"QID83","AIAgentChange","Have AI tools or AI agents changed how you complete development work in the past year?","MC",NA,NA
"QID86","AIAgent_Uses","What industry purposes or specific tasks are you using AI agents in your development work? Select all that apply from both lists.","MC",NA,NA
"QID106","AgentUsesGeneral"," ","MC",NA,NA
"QID87","AIAgentImpact","To what extent do you agree with the following statements regarding the impact of AI agents on your work as a developer?","Matrix",NA,NA
"QID88","AIAgentChallenges","To what extent do you agree with the following statements regarding AI agents?","Matrix",NA,NA
"QID89","AIAgentKnowledge","You indicated you use or develop AI agents as part of your development work.  Have you used any of the following tools for AI agent memory or data management in the past year?","MC",NA,NA
"QID107","AIAgentKnowWrite","Was the tool or tools for AI agent orchestration or agent frameworks you used in the past year not listed above?  Please write them below separated by a comma and space if there are more than one.","TE",NA,NA
"QID90","AIAgentOrchestration","You indicated you use or develop AI agents as part of your development work.  Have you used any of the following tools for AI agent orchestration or agent frameworks in the past year?","MC",NA,NA
"QID102","AIAgentOrchWrite","Was the tool or tools for AI agent orchestration or agent frameworks you used in the past year not listed above?  Please write them below separated by a comma and space if there are more than one.","TE",NA,NA
"QID91","AIAgentObserveSecure","You indicated you use or develop AI agents as part of your development work.  Have you used any of the following tools for AI agent observability, monitoring or security in the past year?","MC",NA,NA
"QID103","AIAgentObsWrite","Was the tool or tools for AI agent observability, monitoring or security you used in the past year not listed above?  Please write them below separated by a comma and space if there are more than one.","TE",NA,NA
"QID92","AIAgentExternal","You indicated you use or develop AI agents as part of your development work.  Have you used any of the following out-of-the-box agents, copilots or assistants?","MC",NA,NA
"QID104","AIAgentExtWrite","Was the out-of-the-box agents, copilots or assistants you used in the past year not listed above?  Please write them below separated by a comma and space if there are more than one.","TE",NA,NA
"QID100","AIHuman","In the future, if AI can do most coding tasks, in which situations would you still want to ask another person for help? Select all that apply.","MC",NA,NA
"QID93","AIOpen","Looking ahead 3–5 years, what skills do you believe will remain valuable for developers even as AI tools become more capable? Please describe.","TE",NA,NA
